82,G10,FALSE,CRII2020_RRT_AcU93,Acer,UNKNOWN,SYBR,None,20.889049530029297,21.183734893798828,0.416748046875,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.34736129917709069,3.4188950061798096,3.0144867897033691,75.143402099609375,,,,Y,N,N,N,N
83,G11,FALSE,CRII2020_RRT_AcU93,A,UNKNOWN,SYBR,None,21.799470901489258,21.104286193847656,0.98314100503921509,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.56540860870999132,3.6742241382598877,3.2782967090606689,87.613861083984375,,,,Y,N,Y,N,N
84,G12,FALSE,CRII2020_RRT_AcU93,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0703921318054199,-0.00021311023738235235,76.331069946289062,,,,Y,Y,N,N,Y
85,H1,FALSE,NTC,Acer,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.52343559265136719,0.0019954466260969639,60.000701904296875,,,,Y,Y,N,N,Y
86,H2,FALSE,NTC,A,UNKNOWN,SYBR,None,38.015838623046875,38.015838623046875,,,,,,,,,FALSE,0.01,TRUE,3,34,No Amp,,0.2638579770081223,0.43479347229003906,0.027273591607809067,76.331069946289062,81.527091979980469,91.622222900390625,88.653068542480469,Y,N,N,Y,N
87,H3,FALSE,NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.1483303308486938,0.00094363122479990125,77.073356628417969,,,,Y,Y,N,N,Y
88,H4,FALSE,CRII2020_RRT_AcU94,Acer,UNKNOWN,SYBR,None,19.856098175048828,19.833122253417969,0.032491512596607208,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.49126019458761566,3.7913854122161865,3.3453669548034668,75.143402099609375,,,,Y,N,N,N,N
89,H5,FALSE,CRII2020_RRT_AcU94,A,UNKNOWN,SYBR,None,20.591934204101562,20.4599609375,0.18663972616195679,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.47316664276905612,4.1120495796203613,3.715085506439209,87.613861083984375,,,,Y,N,N,N,N
90,H6,FALSE,CRII2020_RRT_AcU94,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.018013596534729,0.0022444210480898619,77.964103698730469,,,,Y,Y,N,N,Y
91,H7,FALSE,CRII2020_RRT_AcU94,Acer,UNKNOWN,SYBR,None,19.810148239135742,19.833122253417969,0.032491512596607208,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.44145129138513228,3.6674082279205322,3.2316768169403076,75.143402099609375,,,,Y,N,N,N,N
92,H8,FALSE,CRII2020_RRT_AcU94,A,UNKNOWN,SYBR,None,20.327985763549805,20.4599609375,0.18663972616195679,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.41380463628167402,3.8778748512268066,3.4989612102508545,87.613861083984375,,,,Y,N,N,N,N
93,H9,FALSE,CRII2020_RRT_AcU94,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0193363428115845,-0.0047658951953053474,77.815643310546875,,,,Y,Y,N,N,Y
94,H10,FALSE,+,Acer,UNKNOWN,SYBR,None,27.441493988037109,27.449134826660156,0.010804428718984127,,,,,,,,FALSE,0.01,TRUE,3,25,Amp,,0.37036796877901679,2.9181637763977051,2.624298095703125,74.846488952636719,,,,Y,N,N,N,N
95,H11,FALSE,+,A,UNKNOWN,SYBR,None,13.423459053039551,13.656315803527832,0.32930916547775269,,,,,,,,FALSE,0.01,TRUE,3,12,Amp,,0.36096279826662531,3.999603271484375,3.6511340141296387,87.465408325195312,,,,Y,N,N,N,N
96,H12,FALSE,+,D,UNKNOWN,FAM,NFQ-MGB,15.98661994934082,15.481512069702148,0.71433109045028687,,,,,,,,FALSE,0.01,TRUE,3,14,Amp,,0.5410729015819522,4.828789234161377,3.0991537570953369,60.000701904296875,,,,Y,N,Y,N,N
