82,G10,FALSE,CRII2020_RRT_Ap159,Acer,UNKNOWN,SYBR,None,16.809318542480469,17.195278167724609,0.54582798480987549,,,,,,,,FALSE,0.01,TRUE,3,15,Amp,,0.50746331883119133,2.6655037403106689,2.2444229125976562,75.329933166503906,,,,Y,N,Y,N,N
83,G11,FALSE,CRII2020_RRT_Ap159,A,UNKNOWN,SYBR,None,21.394872665405273,20.606899261474609,1.1143627166748047,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.56434019372807798,3.5407369136810303,3.1155247688293457,87.563926696777344,,,,Y,N,Y,N,N
84,G12,FALSE,CRII2020_RRT_Ap159,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,35,No Amp,,0,0.99141103029251099,-8.2581253082025796e-05,77.098709106445312,,,,Y,N,N,N,Y
85,H1,FALSE,NTC,Acer,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.46202868223190308,-0.0029381157364696264,60.000598907470703,,,,Y,Y,N,N,Y
86,H2,FALSE,NTC,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.37878987193107605,-0.0045576957054436207,90.806671142578125,86.974334716796875,81.078437805175781,93.312423706054688,Y,Y,N,Y,Y
87,H3,FALSE,NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0550028085708618,-0.00062210095347836614,77.393501281738281,,,,Y,Y,N,N,Y
88,H4,FALSE,CRII2020_RRT_Ap160,Acer,UNKNOWN,SYBR,None,18.556188583374023,17.957687377929688,0.84640985727310181,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.53101424341470294,2.7350089550018311,2.3832309246063232,75.329933166503906,,,,Y,N,Y,N,N
89,H5,FALSE,CRII2020_RRT_Ap160,A,UNKNOWN,SYBR,None,21.758087158203125,22.112472534179688,0.50117659568786621,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.34358605310446833,3.9726934432983398,3.5691678524017334,87.563926696777344,,,,Y,N,Y,N,N
90,H6,FALSE,CRII2020_RRT_Ap160,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.93957847356796265,-0.0046567758545279503,75.919525146484375,,,,Y,Y,N,N,Y
91,H7,FALSE,CRII2020_RRT_Ap160,Acer,UNKNOWN,SYBR,None,17.359184265136719,17.957687377929688,0.84640985727310181,,,,,,,,FALSE,0.01,TRUE,3,16,Amp,,0.57077562414213789,2.6199905872344971,2.2352852821350098,75.329933166503906,,,,Y,N,Y,N,N
92,H8,FALSE,CRII2020_RRT_Ap160,A,UNKNOWN,SYBR,None,22.46685791015625,22.112472534179688,0.50117659568786621,,,,,,,,FALSE,0.01,TRUE,3,21,Amp,,0.48492936591026892,3.7907059192657471,3.4128587245941162,87.711318969726562,,,,Y,N,Y,N,N
93,H9,FALSE,CRII2020_RRT_Ap160,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.94794148206710815,-0.0061033307574689388,77.68829345703125,,,,Y,Y,N,N,Y
94,H10,FALSE,+,Acer,UNKNOWN,SYBR,None,19.953828811645508,20.561258316040039,0.85903501510620117,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.43468886482116387,2.4457504749298096,2.2089903354644775,75.182540893554688,,,,Y,N,Y,N,N
95,H11,FALSE,+,A,UNKNOWN,SYBR,None,7.6224164962768555,7.3555946350097656,0.37734276056289673,,,,,,,,FALSE,0.01,TRUE,3,6,Amp,,0.56719480004718514,3.9305355548858643,3.4916880130767822,87.563926696777344,,,,Y,N,N,N,N
96,H12,FALSE,+,D,UNKNOWN,FAM,NFQ-MGB,9.3268823623657227,8.6097545623779297,1.0141725540161133,,,,,,,,FALSE,0.01,TRUE,3,8,Amp,,0.70728035258422506,4.4500341415405273,2.5600748062133789,60.000598907470703,,,,Y,N,Y,N,N
