Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,A9,FALSE,NSF_7_G228_QR,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.5291283130645752,-0.0016386626521125436,60.001701354980469,,,,Y,Y,N,N,N,Y
10,A10,FALSE,NTC,Acer,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.39377659559249878,-0.0024547905195504427,61.918285369873047,,,,Y,Y,N,N,N,Y
11,A11,FALSE,NTC,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.40352103114128113,2.8435577405616641e-05,60.001701354980469,,,,Y,Y,N,N,N,Y
12,A12,FALSE,NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.1929481029510498,-0.0065974430181086063,77.840675354003906,,,,Y,Y,N,N,N,N
13,B1,FALSE,NSF_7_G234_QR,A_EMM,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,TRUE,0.203664354046526,TRUE,3,39,No Amp,,0,1.5339325666427612,0.001847820240072906,77.693244934082031,,,,Y,Y,N,N,N,Y
14,B2,FALSE,NSF_7_G234_QR,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,TRUE,0.11156654068310437,TRUE,3,39,No Amp,,0,1.4000638723373413,-0.00013727325131185353,78.725250244140625,,,,Y,Y,N,N,N,Y
15,B3,FALSE,NSF_7_G234_QR,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,,,,,TRUE,0.039999999105930328,TRUE,3,39,No Amp,,0,0.60854214429855347,-0.0095120212063193321,0,,,,Y,Y,Y,N,N,N
15,B3,FALSE,NSF_7_G234_QR,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.2583667039871216,-0.0031479694880545139,80.199546813964844,,,,Y,Y,N,N,N,Y
16,B4,FALSE,NSF_7_G234_QR,A_EMM,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,TRUE,0.203664354046526,TRUE,3,39,No Amp,,0,1.3474018573760986,-0.00043220294173806906,77.988105773925781,,,,Y,Y,N,N,N,Y
17,B5,FALSE,NSF_7_G234_QR,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,TRUE,0.11156654068310437,TRUE,3,39,No Amp,,0,1.3363772630691528,0.0029308474622666836,77.988105773925781,,,,Y,Y,N,N,N,Y
18,B6,FALSE,NSF_7_G234_QR,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,,,,,TRUE,0.039999999105930328,TRUE,3,39,No Amp,,0,0.60407334566116333,-0.0083096064627170563,0,,,,Y,Y,Y,N,N,N
18,B6,FALSE,NSF_7_G234_QR,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.1961030960083008,-0.00091407698346301913,79.314971923828125,,,,Y,Y,N,N,N,Y
19,B7,FALSE,NSF_7_G246_QR,A_EMM,UNKNOWN,FAM,NFQ-MGB,34.320236206054688,34.533676147460938,0.3018469512462616,,,,,,,,TRUE,0.203664354046526,TRUE,3,28,Amp,,0.93925225729289685,2.66556715965271,1.3008308410644531,77.840675354003906,,,,N,N,N,N,N,N
20,B8,FALSE,NSF_7_G246_QR,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,TRUE,0.11156654068310437,TRUE,3,39,No Amp,,0,1.3019800186157227,0.0067106382921338081,77.988105773925781,,,,Y,Y,N,N,N,Y
21,B9,FALSE,NSF_7_G246_QR,C,UNKNOWN,VIC,NFQ-MGB,33.784378051757812,33.754783630371094,0.04185013473033905,,,,,,,,TRUE,0.039999999105930328,TRUE,3,30,Amp,,0.57623845949803942,0.84078049659729004,0.18935048580169678,0,,,,Y,N,Y,N,N,N
21,B9,FALSE,NSF_7_G246_QR,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.2333083152770996,1.1571893310247106e-06,80.199546813964844,,,,Y,Y,N,N,N,Y
22,B10,FALSE,NSF_7_G246_QR,A_EMM,UNKNOWN,FAM,NFQ-MGB,34.747112274169922,34.533676147460938,0.3018469512462616,,,,,,,,TRUE,0.203664354046526,TRUE,3,29,Amp,,0.93707370932420397,2.5499920845031738,1.1079014539718628,79.904685974121094,,,,N,N,N,N,N,N
23,B11,FALSE,NSF_7_G246_QR,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,TRUE,0.11156654068310437,TRUE,3,39,No Amp,,0,1.3633812665939331,0.0048341960646212101,81.084121704101562,,,,Y,Y,N,N,N,Y
24,B12,FALSE,NSF_7_G246_QR,C,UNKNOWN,VIC,NFQ-MGB,33.725193023681641,33.754783630371094,0.04185013473033905,,,,,,,,TRUE,0.039999999105930328,TRUE,3,30,Amp,,0.57015460139132401,0.84357428550720215,0.18613742291927338,0,,,,Y,N,Y,N,N,N
24,B12,FALSE,NSF_7_G246_QR,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.300875186920166,-0.0054886285215616226,77.693244934082031,,,,Y,Y,N,N,N,Y
