80,G8,FALSE,CRII2020_FWC_AcML57,A,UNKNOWN,SYBR,None,22.066083908081055,22.562356948852539,0.70183604955673218,,,,,,,,FALSE,0.01,TRUE,3,21,Amp,,0.37596209243947709,4.0835428237915039,3.6886229515075684,87.705665588378906,,,,Y,N,Y,N,N,N
81,G9,FALSE,CRII2020_FWC_AcML57,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.98920011520385742,-0.005119948647916317,76.063262939453125,,,,Y,Y,N,N,N,Y
82,G10,FALSE,CRII2020_FWC_AcML57,Acer,UNKNOWN,SYBR,None,19.841524124145508,19.773666381835938,0.095963992178440094,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.43717475859831212,3.9372920989990234,3.4573640823364258,75.179031372070312,,,,Y,N,N,N,N,N
83,G11,FALSE,CRII2020_FWC_AcML57,A,UNKNOWN,SYBR,None,23.058629989624023,22.562356948852539,0.70183604955673218,,,,,,,,FALSE,0.01,TRUE,3,22,Amp,,0.59175297078102995,3.8983845710754395,3.4908621311187744,87.558296203613281,,,,Y,N,Y,N,N,N
84,G12,FALSE,CRII2020_FWC_AcML57,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0386041402816772,-0.0012357750674709678,74.58953857421875,,,,Y,Y,N,N,N,Y
85,H1,FALSE,NTC,Acer,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.57025450468063354,-0.004729648120701313,59.999698638916016,,,,Y,Y,N,N,N,Y
86,H2,FALSE,NTC,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.43516317009925842,-0.00035474039032123983,80.7791748046875,88.8846435546875,92.421577453613281,71.0526123046875,Y,Y,N,Y,N,Y
87,H3,FALSE,NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.1176575422286987,0.0054445476271212101,76.947494506835938,,,,Y,Y,N,N,N,Y
88,H4,FALSE,CRII2020_FWC_AcML63,Acer,UNKNOWN,SYBR,None,19.297996520996094,19.282180786132812,0.022368175908923149,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.3961155119800695,4.289097785949707,3.7883329391479492,75.179031372070312,,,,Y,N,N,N,N,N
89,H5,FALSE,CRII2020_FWC_AcML63,A,UNKNOWN,SYBR,None,22.519466400146484,22.384937286376953,0.19025154411792755,,,,,,,,FALSE,0.01,TRUE,3,21,Amp,,0.45668195823466906,4.4590935707092285,4.0148591995239258,87.705665588378906,,,,Y,N,N,N,N,N
90,H6,FALSE,CRII2020_FWC_AcML63,D,UNKNOWN,FAM,NFQ-MGB,29.053678512573242,29.053678512573242,,,,,,,,,FALSE,0.01,TRUE,3,26,No Amp,,0.25202627323524135,1.0177748203277588,0.016643183305859566,76.947494506835938,,,,Y,N,N,N,Y,Y
91,H7,FALSE,CRII2020_FWC_AcML63,Acer,UNKNOWN,SYBR,None,19.266363143920898,19.282180786132812,0.022368175908923149,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.35682339178959088,4.1183204650878906,3.6191644668579102,75.179031372070312,,,,Y,N,N,N,N,N
92,H8,FALSE,CRII2020_FWC_AcML63,A,UNKNOWN,SYBR,None,22.250410079956055,22.384937286376953,0.19025154411792755,,,,,,,,FALSE,0.01,TRUE,3,21,Amp,,0.36909624292429921,4.206385612487793,3.7532413005828857,87.558296203613281,,,,Y,N,N,N,N,N
93,H9,FALSE,CRII2020_FWC_AcML63,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,29.053678512573242,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0052688121795654,-0.0014645897317677736,76.505378723144531,,,,Y,Y,N,N,N,Y
94,H10,FALSE,+,Acer,UNKNOWN,SYBR,None,26.661800384521484,26.043949127197266,0.8737722635269165,,,,,,,,FALSE,0.01,TRUE,3,25,Amp,,0.69515087203092085,2.7038919925689697,2.3180980682373047,75.031661987304688,,,,Y,N,Y,N,N,N
95,H11,FALSE,+,A,UNKNOWN,SYBR,None,12.731157302856445,13.149436950683594,0.59153610467910767,,,,,,,,FALSE,0.01,TRUE,3,12,Amp,,0.24348335892599884,4.3335623741149902,3.9758858680725098,87.558296203613281,,,,Y,N,Y,N,N,N
96,H12,FALSE,+,D,UNKNOWN,FAM,NFQ-MGB,16.242132186889648,15.741548538208008,0.7079315185546875,,,,,,,,FALSE,0.01,TRUE,3,15,Amp,,0.57983321586052505,4.6359415054321289,2.9542675018310547,61.178676605224609,,,,Y,N,Y,N,N,N
